OBJECTID,GMI_CNTRY,ZONE_CODE,COUNT,AREA,SUM
215,VNM,215,2758,27.5799999,16142170.0000000
216,VIR,216,3,0.0300000,10366.0468750
217,NAM,217,7220,72.2000046,360387.7500000
218,WLF,218,2,0.0200000,934.2148438
219,ESH,219,2426,24.2600002,2525.5996094
220,WSM,220,26,0.2600000,29456.0527344
221,SWZ,221,156,1.5600001,175231.6562500
222,YEM,222,3576,35.7600021,4816413.5000000
223,ZMB,223,6283,62.8300018,2632566.0000000
224,ZWE,224,3352,33.5200005,3085475.5000000
