GMI_CNTRY,pjanMN,poctMN,pnovMN,pdecMN,pfebMN,pmarMN,paprMN,pmayMN,pjunMN,pjulMN,paugMN,psepMN,tjanMN,toctMN,tnovMN,tdecMN,tfebMN,tmarMN,taprMN,tmayMN,tjunMN,tjulMN,taugMN,tsepMN
PRI,88.24918794,221.7563805,171.2564269,112.7923898,68.8749884,76.61865429,128.7169374,204.8114153,160.1215777,158.4499304,211.7181439,218.4491879,223.8439907,250.9137819,242.1913689,231.364826,223.9223202,228.7443155,237.0552204,246.590348,253.7267749,255.3428306,256.585058,254.8748956
KNA,106.7409326,154.0414508,159.1450777,111.3937824,62.49740933,62.10362694,92.71502591,114.4507772,109.9689119,127.8963731,171.253886,173.8186529,235.7098446,261.5906736,254.1761658,244.253886,236.6373057,241.4715026,249.0103627,257.6010363,263.8963731,264.9430052,266.0362694,265.253886
LCA,108.5145889,246.4774536,255.530504,159.4164456,81.19496021,78.73209549,101.6193634,138.2718833,192.0145889,250.2002653,216.204244,232.1843501,233.3832891,254.3819629,247.7122016,239.1498674,234.9045093,238.9310345,250.102122,257.8514589,260.2984085,258.2135279,260.8076923,259.0424403
TTO,110.705137,220.3474315,250.9719178,203.852911,70.53304795,65.30667808,77.2484589,120.2443493,245.5438356,253.1089041,257.3577055,200.5898973,245.7349315,262.6261986,258.1570205,251.0753425,247.2344178,252.5116438,261.5842466,265.3511986,260.935274,259.1219178,261.2767123,263.3614726
TCA,46.96615385,90.55076923,109.6707692,83.83076923,34.88,30.45538462,42.32307692,46.08,43.79692308,32.48615385,47.98153846,69.85230769,234.0769231,271.4430769,254.8184615,242.6184615,236.2030769,242.2953846,251.9784615,263.7476923,274.4430769,279.4123077,282.76,278.5261538
USA,47.63209173,52.85534757,53.27888943,52.43187653,44.10344474,52.98940835,51.56246067,61.49725939,64.50920221,66.34696448,68.40203771,63.77556557,-65.05782578,75.54515658,3.897478206,-50.06051985,-44.97652226,-2.915432818,56.96613014,118.7588515,170.1926394,197.6108065,186.7388248,141.9274435
URY,108.2791156,113.0073874,96.54765112,88.12860446,103.8310223,117.0374442,115.5485274,95.73100609,97.28926572,91.96655578,90.22780122,102.3998174,241.4865396,169.0812333,198.2145923,223.2920487,233.664146,213.1743124,173.4708032,143.0792982,120.774288,115.2872657,126.9331846,143.9221379
VCT,122.2322738,283.5623472,274.2689487,189.997555,97.27139364,94.9804401,114.9193154,163.7359413,244.6601467,289.00978,258.1002445,250.6308068,230.4914425,250.3863081,243.9388753,235.9633252,230.2689487,236.2591687,244.7530562,250.9584352,252.3667482,250.8679707,253.9486553,252.5354523
VEN,53.95092871,169.7639026,131.4001038,90.39006666,44.43721383,60.10325341,131.9085131,230.8926272,286.0766949,279.1423956,259.1445322,203.093957,251.0446854,258.4738645,257.1240489,252.3156509,255.2512537,261.0736638,262.5273627,259.0312454,252.7876705,250.548516,253.7629476,257.1575361
VGB,67.94680851,154.0212766,153.4042553,102.1170213,48.08510638,51.79787234,76.5106383,118.0319149,67.0212766,79.60638298,111.5957447,126.5531915,242.5638298,266.7978723,258.3617021,246.6702128,241.2446809,245.5638298,252.393617,261.5531915,269.4255319,272.8191489,271.6808511,270.712766
VIR,62.80876494,138.9561753,145.6533865,107.8366534,42.84860558,44.30278884,69.94422311,106.2908367,63.62948207,74.3187251,111.2868526,136.0916335,245.9920319,269.2908367,261.1035857,250.8007968,245.247012,248.8565737,256.1354582,264.876494,272.7091633,273.8605578,274.8565737,272.2948207
BLM,65.11764705880,129.64705882400,125.00000000000,96.88235294120,46.82352941180,54.47058823530,65.23529411760,91.70588235290,57.88235294120,81.17647058820,114.29411764700,124.29411764700,248.94117647100,276.29411764700,266.70588235300,256.58823529400,250.23529411800,254.88235294100,261.17647058800,269.35294117600,277.52941176500,278.29411764700,279.00000000000,279.47058823500
CAN,27.77056875090,41.69439979590,35.70554868300,30.80123063910,22.33386063580,24.24297856300,24.56642386760,32.71619817110,46.23983139050,57.09578508970,56.34441674340,49.33064216210,-248.20309234000,-40.87020908650,-140.37837309600,-211.85082520000,-231.88975267500,-186.84474334700,-96.46330297030,-1.23534173805,73.72516909240,111.83116677400,96.52395976070,36.80448580100
CUW,63.32008830020,72.98454746140,105.46799117000,100.05739514300,29.46578366450,14.96688741720,20.94039735100,20.26710816780,24.79470198680,32.71743929360,37.15894039740,40.89845474610,259.78587196500,281.32008830000,274.19867549700,265.30905077300,260.07064017700,261.53863134700,270.42825607100,276.09050772600,278.91832229600,277.92494481200,281.28697571700,286.28035320100
MAF,70.80952380950,122.09523809500,127.42857142900,93.45238095240,44.83333333330,51.80952380950,63.00000000000,90.64285714290,57.38095238100,80.83333333330,108.83333333300,120.71428571400,250.76190476200,277.40476190500,268.16666666700,257.02380952400,251.38095238100,256.33333333300,262.88095238100,271.42857142900,278.61904761900,280.28571428600,280.76190476200,280.52380952400
SXM,70.82222222220,122.46666666700,128.20000000000,92.66666666670,44.48888888890,51.84444444440,62.82222222220,90.02222222220,57.82222222220,81.88888888890,110.53333333300,122.73333333300,251.24444444400,277.57777777800,268.57777777800,257.37777777800,251.68888888900,256.60000000000,263.15555555600,271.68888888900,278.68888888900,280.64444444400,281.00000000000,280.55555555600
